文件名,文件路径,函数名,行号,风险类型,技术解释,是否是问题,原因
npu_static_kernel.py,pytorch/torch_npu/_inductor/npu_static_kernel.py,safe_resolve_output_dir,"[47]",文件权限控制,"result_root.mkdir 未指定 mode，默认权限受 umask 影响，可能创建组/其他用户可写目录，导致后续生成的 .run 文件可被其他用户替换，存在安全风险。建议使用 mode=0o700 或更严格的权限创建目录。",否,"mkdir 默认使用 0777 再应用 umask；常规 umask 下组/其他用户没有写权限，扫描描述把‘受 umask 影响’直接等同于‘可写’并不成立。使用 mode=0o700 仍可作为加固。"
npu_static_kernel.py,pytorch/torch_npu/_inductor/npu_static_kernel.py,StaticKernelCompiler.__exit__ / uninstall_static_kernel,"[120,130,145]",资源限制与配额,"subprocess.run 调用 op_compiler、安装 .run 包以及卸载脚本时均未设置 timeout 参数。若被调用的外部命令因异常、死锁或资源问题而长时间挂起，将导致当前进程无限期阻塞，可能造成资源耗尽或拒绝服务（DoS）风险。建议为每个 subprocess.run 调用增加合理的 timeout 参数，并在超时后捕获 subprocess.TimeoutExpired 异常进行相应处理。",否,"CUDA CUTLASS/CUDA/ROCm 编译子进程同样普遍不设 timeout；这里执行本机受信任的 op_compiler、安装包和卸载脚本，只有工具自身挂死才会无限等待，没有来自模型输入的稳定触发条件。"
config.py,pytorch/torch_npu/_inductor/config.py,_obtain_precompile_thread_num,"[126,128,133]",资源限制与配额,"TORCHNPU_PRECOMPILE_THREADS环境变量直接转换为int且未设置上下限，攻击者或误配置可设置极大值导致创建过多线程造成资源耗尽，或设置为0/负数导致线程池异常；同时代码中使用max(precompile_thread_num, 32)将线程数下限设为32，可能造成线程过度创建，且与注释所述“最大值为32”不符。",否,"CUDA 的 TORCHINDUCTOR_COMPILE_THREADS 同样直接 int 转换、允许用户显式配置并传给线程池。NPU 的 max(...,32) 与注释/文档不一致，但默认值是有界的；这可作为性能或文档问题单独处理，不能支持当前无界资源耗尽结论。"
patch.py,pytorch/torch_npu/_inductor/experimental/python_wrapper_fast_launch/patch.py,patched_make_launcher,"[346]",日志与异常处理,"在 patched_make_launcher 函数中，第346行的 except Exception 捕获所有异常后直接返回 launcher，未记录任何日志或处理异常，会静默吞掉异常，可能隐藏元数据构建或编译过程中的错误，导致问题难以排查。建议在异常处理中记录日志（如 logging.exception）或重新抛出异常，以便及时发现和定位问题。",否,"fast launch 默认关闭且属于可选优化。启用后 metadata 构建失败会返回原 launcher；后续 plan 构建校验 metadata，BoundFastLaunch 捕获 FastLaunchPlanUnavailable 后回退原 autotuner/launcher，不会隐藏 kernel 编译或执行失败。"
wrapper.py,pytorch/torch_npu/_inductor/codegen/wrapper.py,generate_return,"[423,427]",资源泄露,"在生成返回代码时，条件写为 `if not has_initialized:`，导致只有 `has_initialized` 为 False 时才调用 `static_kernel_complier.__exit__`。正常初始化后 `has_initialized` 为 True，`__exit__` 不会执行，StaticKernelCompiler 上下文管理器无法正确释放资源，造成资源泄漏。建议将条件改为 `if has_initialized:`，或使用 try/finally 确保退出。",是,"write_prefix 第410-416行在成功 __enter__ 后把 has_initialized 设为 True，而 generate_return 第423行却判断 not has_initialized；正常路径因此跳过第427行 __exit__，与上下文生命周期相反。"
codecache.py,pytorch/torch_npu/_inductor/codecache.py,CATLASSCodeCache.compile,"[258,259,260]",资源限制与配额,"在调用 subprocess.check_output 编译 CATLASS 代码时未设置 timeout 参数。如果 bisheng 编译器因异常或死锁而挂起，进程将无限期阻塞，导致应用层拒绝服务（DoS）。建议为 subprocess.check_output 添加合理的 timeout 值，并捕获 subprocess.TimeoutExpired 异常以进行超时处理。",否,"CUDA 的 CUTLASSCodeCache.compile 使用相同的 subprocess.check_output 参数，同样没有 timeout 且只捕获 CalledProcessError；只有本机编译器自身挂死才会出现该风险，按 CUDA 一致性标准判为非问题。"
ascend_graph_pass.py,pytorch/torch_npu/_inductor/fx_passes/ascend_custom_passes/ascend_graph_pass.py,_replay_view_chain,"[1939,1940]",异常处理,"在 _replay_view_chain 中，except Exception 块直接使用 pass 吞掉所有异常。如果 fake meta 刷新失败，例如 view.target 执行异常或参数解析异常，异常会被静默忽略，导致 new_node.meta['val'] 缺失或状态不一致，后续依赖 fake meta 的优化或校验难以发现失败原因。建议至少记录 warning 日志，或仅捕获预期可忽略的异常，并明确失败后的处理逻辑，避免隐藏错误状态。",否,"异常仅影响新 view 节点的可选 fake meta 刷新，不影响节点创建和运行时语义；new_where 无法重算 meta 时会在第2039-2040行显式回用原 mul.meta['val']，未发现缺失中间 val 的实际失败消费者。"
ascend_graph_pass.py,pytorch/torch_npu/_inductor/fx_passes/ascend_custom_passes/ascend_graph_pass.py,fold_four_op_pass,"[323,331]",类型混淆,"在 div_ops 分支中，代码将 x/1 直接替换为被除数 x。但 torch.div 对整数/布尔张量执行真除法，即使除以 1 也会返回浮点张量；直接用整数被除数替换会改变节点输出 dtype，可能导致后续算子类型不匹配或计算结果错误。建议在折叠前检查 node.meta['val'].dtype 与被除数 dtype 是否一致，或仅对浮点/复数张量执行该折叠；必要时插入 dtype 转换（如 aten.to）以保持原语义。",否,"扫描描述与当前实现不符：第330行调用 get_binary_fold_result；该函数在被除数节点 dtype 与目标 node.meta dtype 不同（第111-122行）时生成 prims.convert_element_type，而不是直接返回原整数节点。因此 div(x,1) 的输出 dtype 会按原节点 meta 保持，当前未证明存在该类型混淆。"
symbolic_shape_util.py,pytorch/torch_npu/_inductor/fx_passes/symbolic_shape_util.py,_shape_env_from_val,"[356]",日志与异常处理,"第356行捕获所有Exception并静默返回None，未记录任何日志。若val.node.shape_env访问过程中发生意外异常，错误状态会被隐藏，可能导致调用方误判shape_env不存在，掩盖真实问题并增加调试难度。建议捕获具体异常类型（如AttributeError），或至少记录warning日志。",否,"当前 v2.10.0 中该文件实际位于 fx_passes/utils/。函数用于可选地从 SymInt 获取 ShapeEnv；无法访问时返回 None 是调用方 get_shape_env 的预期‘未找到’结果（当前第363-370行），未发现异常会造成错误状态传播。记录 traceback 属于诊断增强。"
fx_test.py,pytorch/torch_npu/_inductor/dvm/fx_test.py,generate_dvm_fx_case,"[24,143]",文件权限控制,"os.makedirs 和 open 在创建目录和文件时未显式指定安全权限，默认权限受 umask 影响，可能生成 755/644 等过于宽松的权限，导致其他用户可读甚至可写。建议使用 os.open 指定 0o600/0o700，或设置 umask 为 0027 及以上，以限制访问权限。",否,"该函数仅在 dvm_config.dump_fx_test 显式开启时生成本地回归测试 artifact，默认配置为 False；默认权限受 umask 控制，不能据此推出必然的跨用户可写或敏感数据泄露。"
